Direction;StartTime;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;Duration;Angle;Session
SELL;09:30:00;1.09248;1.07257;199;0.0897;1.0558;32.0819;0.8835;1635;7.30275;1
BUY;17:15:00;1.08337;1.10744;241;0.0532;0.1156;-133.9806;0.3636;5250;2.75429;2
SELL;08:45:00;1.10744;1.09117;163;0.0663;0.1502;32.3651;0.6402;4980;1.96386;0
SELL;15:45:00;1.10008;1.08488;152;0.0575;0.3589;-176.3636;0.5474;3105;2.9372;1
BUY;08:00:00;1.08075;1.09668;159;0.064;0.2309;-189.0909;0.2672;1860;5.12903;0
SELL;13:15:00;1.10071;1.08491;158;0.0617;0.7155;-46.2963;0.597;1350;7.02222;1
BUY;17:30:00;1.08398;1.10234;184;0.0532;0.1915;-222.807;0.4661;6705;1.64653;2
BUY;15:45:00;1.09817;1.12717;290;0.0548;0.2807;-590.4762;0.3351;9735;1.78737;1
SELL;04:30:00;1.12265;1.10269;200;0.0557;0.2509;-354.5455;0.6699;7905;1.51803;0
SELL;13:00:00;1.11465;1.09511;195;0.0894;0.4358;-62.5;0.2654;1320;8.86364;1
SELL;15:45:00;1.1042;1.08815;161;0.0627;0.6115;-53.3333;0.642;5820;1.65979;1
BUY;16:00:00;1.07838;1.09448;161;0.0687;0.6508;-198.1481;0.5398;1485;6.50505;1
SELL;16:15:00;1.08745;1.06917;183;0.0499;0.2299;-315.9091;0.2821;8670;1.26644;1
SELL;17:30:00;1.06677;1.04924;175;0.0527;0.3226;-288.8889;0.7257;7410;1.417;2
SELL;13:00:00;1.06154;1.04524;163;0.0671;0.3583;-32.5203;0.8266;6105;1.60197;1
BUY;19:00:00;1.0524;1.06875;164;0.0574;0.1338;-141.1765;0.8072;8100;1.21481;2
SELL;10:00:00;1.06875;1.05257;162;0.0593;0.3272;1.2195;0.2661;3375;2.88;1
BUY;21:30:00;1.06616;1.08865;225;0.0548;0.1756;-262.9032;1.5613;7245;1.86335;2
BUY;17:00:00;1.08538;1.10129;159;0.0499;0.2199;-43.2432;0.5498;9255;1.03079;2
SELL;03:15:00;1.10129;1.08371;176;0.0658;0.4789;-10.6918;0.498;3735;2.82731;0
BUY;19:00:00;1.07411;1.1005;264;0.0623;0.3395;-560;1.6863;8655;1.83016;2
BUY;22:45:00;1.09316;1.11366;205;0.0492;0.3147;-279.6296;0.6943;10845;1.13416;2
SELL;11:30:00;1.11366;1.08956;241;0.0622;0.2018;-17.561;0.8148;9210;1.57003;1
SELL;11:30:00;1.0897;1.07252;172;0.0655;0.2319;-50.8772;0.4085;4695;2.19808;1
SELL;16:15:00;1.08816;1.06051;276;0.0505;0.1461;-206.6667;0.2545;9660;1.71429;1
BUY;14:30:00;1.0725;1.08937;169;0.0375;0.079;-141.4286;0.8099;9435;1.07472;1
SELL;10:00:00;1.08983;1.07223;176;0.0495;0.1603;-319.0476;0.3496;6225;1.69639;1
SELL;18:15:00;1.08504;1.0669;181;0.0516;0.3575;-41.4063;0.4513;2790;3.89247;2
BUY;13:00:00;1.07105;1.09215;211;0.0368;0.186;-224.6154;0.2966;19020;0.66562;1
BUY;12:45:00;1.07777;1.09967;219;0.0699;0.5977;-222.0588;0.8036;5970;2.20101;1
BUY;16:30:00;1.08863;1.10424;156;0.0392;0.3945;-41.8182;0.8804;8700;1.07586;1
BUY;16:00:00;1.09524;1.11732;221;0.0411;0.2922;-145.5556;0.6082;8955;1.48074;1
SELL;21:00:00;1.11998;1.10279;172;0.0457;0.1894;-72;0.4827;15825;0.65213;2
BUY;17:30:00;1.10043;1.11715;167;0.0435;0.5705;-28.4615;0.535;10305;0.97234;2
SELL;11:45:00;1.12057;1.09536;252;0.0563;0.269;-342.1053;0.6523;6210;2.43478;1
SELL;20:15:00;1.09354;1.0719;216;0.1313;1.2848;-109.7087;1.2334;555;23.35135;2
SELL;17:15:00;1.08186;1.05962;222;0.064;0.2225;-69.4656;0.4328;8205;1.6234;2
SELL;02:15:00;1.0608;1.03399;268;0.0696;1.589;-267.1233;1.4817;3405;4.72247;0
BUY;11:00:00;1.03399;1.04984;159;0.1286;0.8425;40.6716;0.3178;3735;2.55422;1
SELL;02:45:00;1.05286;1.03492;179;0.0646;0.7685;-148.6111;1.2657;2700;3.97778;0
SELL;11:30:00;1.04202;1.02458;174;0.0807;0.9704;-324.3902;0.9885;3300;3.16364;1
BUY;18:30:00;1.02458;1.04356;190;0.0698;1.045;-9.1954;1.0962;5565;2.04852;2
BUY;11:15:00;1.01868;1.03444;158;0.0755;0.5909;-15.3285;0.4651;3150;3.00952;1
BUY;01:15:00;1.02683;1.04255;157;0.0876;1.1795;-185.4545;0.9868;945;9.96825;0
SELL;19:15:00;1.04319;1.02149;217;0.1473;0.3929;-239.0625;0.3848;3495;3.72532;2
SELL;19:15:00;1.05234;1.03635;160;0.0651;0.4631;-240.4255;0.4415;2970;3.23232;2
BUY;20:45:00;1.03635;1.0839;475;0.0942;0.609;-196.875;1.7437;8415;3.38681;2
BUY;00:15:00;1.08152;1.11051;290;0.1702;1.6783;-308.4507;0.9391;765;22.7451;0
BUY;17:30:00;1.08953;1.10734;178;0.1314;0.5489;-182.5397;0.2776;975;10.95385;2
BUY;22:45:00;1.09344;1.1237;303;0.1427;0.58;-588.6364;1.0804;1350;13.46667;2
BUY;22:15:00;1.11612;1.13451;184;0.2024;0.6708;-142.1053;0.3224;495;22.30303;2
BUY;09:00:00;1.12604;1.14272;167;0.3499;1.9974;-96.4706;0.4413;165;60.72727;1
BUY;15:15:00;1.13427;1.15678;225;0.0785;0.591;-257.1429;1.2859;5565;2.42588;1
SELL;08:15:00;1.15469;1.13172;230;0.1239;1.0077;-253.8462;0.8339;1020;13.52941;0
SELL;09:45:00;1.13737;1.11998;174;0.0908;0.3281;-295.4545;0.6068;2595;4.02312;1
SELL;17:15:00;1.12869;1.10934;193;0.0915;1.3756;-121.8391;1.2443;3945;2.93536;2
BUY;21:15:00;1.10676;1.1259;191;0.0765;0.7297;-229.3103;0.5834;2355;4.86624;2
SELL;08:45:00;1.14172;1.12103;207;0.0633;0.7713;-89.9083;0.7875;3945;3.14829;0
BUY;02:30:00;1.12103;1.13828;172;0.1057;0.2515;16.9082;0.5279;1080;9.55556;0
BUY;10:00:00;1.13781;1.16277;250;0.0716;0.4878;-316.6667;0.8486;3210;4.6729;1
BUY;12:15:00;1.14563;1.16329;177;0.0862;0.5107;-210.5263;0.3976;1740;6.10345;1
SELL;03:30:00;1.17461;1.15688;177;0.0535;0.4367;-210.5263;0.8012;9480;1.12025;0
SELL;03:15:00;1.17653;1.15315;234;0.0676;0.5485;-310.5263;0.4212;1845;7.60976;0
SELL;04:00:00;1.15697;1.14029;167;0.0817;0.5327;-234;0.6964;1200;8.35;0
BUY;15:15:00;1.13959;1.15699;174;0.4222;1.5582;-176.1905;0.3811;60;174;1
BUY;14:30:00;1.15326;1.16896;157;0.0587;0.1995;-149.2063;0.3163;2655;3.54802;1
BUY;07:15:00;1.15836;1.17404;157;0.0788;0.2601;-78.4091;0.8435;795;11.84906;0
BUY;13:45:00;1.15794;1.17352;156;0.0546;0.1808;-90.2439;0.3226;7080;1.32203;1
BUY;15:30:00;1.17036;1.18761;172;0.0517;0.3492;-330;0.8512;6030;1.71144;1
SELL;16:15:00;1.13556;1.11235;232;0.0505;0.2999;-329.6296;1.101;9735;1.42989;1
BUY;10:30:00;1.11235;1.13292;206;0.0567;0.2112;11.2069;0.9099;7470;1.65462;1
BUY;08:30:00;1.09453;1.11323;187;0.0916;0.9491;-107.7778;1.1787;1920;5.84375;0
SELL;04:15:00;1.11821;1.08771;305;0.0635;0.2608;-187.7358;0.7132;8925;2.05042;0
SELL;18:15:00;1.06094;1.03868;223;0.0749;0.4881;-92.2414;0.67;4125;3.24364;2
BUY;19:45:00;0.99904;1.01939;203;0.0927;0.7952;-331.9149;0.9238;5640;2.15957;2
BUY;18:15:00;1.01519;1.03551;203;0.0682;1.0951;-105.0505;1.3682;7170;1.69874;2
BUY;16:00:00;0.99375;1.01093;172;0.1075;0.5117;-100;0.4417;1095;9.42466;1
SELL;06:15:00;0.99252;0.96771;248;0.0993;0.253;-213.9241;0.407;7290;2.04115;0
SELL;20:00:00;1.00929;0.99416;151;0.0995;0.7799;-37.2727;0.8854;2415;3.75155;2
BUY;12:15:00;0.99416;1.02155;274;0.1997;0.6369;-81.457;0.6917;660;24.90909;1
BUY;03:45:00;1.01663;1.03622;196;0.1386;0.3373;-300;0.382;1080;10.88889;0
BUY;13:30:00;1.02753;1.04428;168;0.1128;0.8585;-93.1034;0.6588;1560;6.46154;1
BUY;21:00:00;1.05134;1.06899;176;0.0949;0.6999;-188.5246;0.6306;2940;3.59184;2
SELL;19:45:00;1.07104;1.05265;184;0.0735;0.3947;-78.6408;1.3276;5370;2.05587;2
BUY;14:30:00;1.04904;1.08294;339;0.0828;1.0341;-143.8849;0.9412;8715;2.33391;1
BUY;12:45:00;1.07257;1.09205;195;0.0628;0.1979;2.0101;0.6855;9570;1.22257;1
BUY;06:45:00;1.079;1.09695;180;0.0738;0.7923;-37.4046;0.6619;2100;5.14286;0
