Direction;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;MaxImpulse;Duration;Angle
BUY;1.08075;1.09668;159;0.064;0.315;-189.0909;0.2672;0.7325;1860;5.12903
SELL;1.10071;1.08491;158;0.0617;0.8125;-46.2963;0.597;0.1813;1350;7.02222
BUY;1.08398;1.10234;184;0.0532;0.1934;-222.807;0.4661;0.824;6705;1.64653
BUY;1.09817;1.12717;290;0.0548;0.2807;-590.4762;0.3351;1.3435;9735;1.78737
SELL;1.12265;1.10269;200;0.0557;0.4037;-354.5455;0.6699;0.7596;7905;1.51803
SELL;1.11465;1.09511;195;0.0894;0.4358;-62.5;0.2654;1.1004;1320;8.86364
SELL;1.1042;1.08815;161;0.0627;0.7174;-53.3333;0.642;0.5232;5820;1.65979
BUY;1.07838;1.09448;161;0.0687;0.7271;-198.1481;0.5398;0.6221;1485;6.50505
SELL;1.08745;1.06917;183;0.0499;0.2962;-315.9091;0.2821;0.8677;8670;1.26644
SELL;1.06677;1.04924;175;0.0527;0.559;-288.8889;0.7257;0.2141;7410;1.417
SELL;1.06154;1.04524;163;0.0671;0.3583;-32.5203;0.8266;0.379;6105;1.60197
BUY;1.0524;1.06875;164;0.0574;0.1507;-141.1765;0.8072;0.602;8100;1.21481
SELL;1.06875;1.05257;162;0.0593;0.3662;1.2195;0.2661;0.7499;3375;2.88
BUY;1.06616;1.08865;225;0.0548;0.5656;-262.9032;1.5613;0.1254;7245;1.86335
BUY;1.08538;1.10129;159;0.0499;0.3492;-43.2432;0.5498;0.5349;9255;1.03079
SELL;1.10129;1.08371;176;0.0658;0.6294;-10.6918;0.498;0.1641;3735;2.82731
BUY;1.07411;1.1005;264;0.0623;0.911;-560;1.6863;0.1749;8655;1.83016
BUY;1.09316;1.11366;205;0.0492;0.3147;-279.6296;0.6943;0.5612;10845;1.13416
SELL;1.11366;1.08956;241;0.0622;0.4196;-17.561;0.8148;0.6092;9210;1.57003
SELL;1.0897;1.07252;172;0.0655;0.3305;-50.8772;0.4085;0.9255;4695;2.19808
SELL;1.08816;1.06051;276;0.0505;0.1461;-206.6667;0.2545;1.2433;9660;1.71429
BUY;1.0725;1.08937;169;0.0375;0.1571;-141.4286;0.8099;0.4935;9435;1.07472
SELL;1.08983;1.07223;176;0.0495;0.3446;-319.0476;0.3496;0.7363;6225;1.69639
SELL;1.08504;1.0669;181;0.0516;0.3575;-41.4063;0.4513;0.2824;2790;3.89247
BUY;1.07105;1.09215;211;0.0368;0.186;-224.6154;0.2966;0.8146;19020;0.66562
BUY;1.07777;1.09967;219;0.0699;0.6937;-222.0588;0.8036;0.7838;5970;2.20101
BUY;1.08863;1.10424;156;0.0392;0.3945;-41.8182;0.8804;0.2474;8700;1.07586
BUY;1.09524;1.11732;221;0.0411;0.6735;-145.5556;0.6082;0.3083;8955;1.48074
SELL;1.11998;1.10279;172;0.0457;0.3919;-72;0.4827;0.4738;15825;0.65213
BUY;1.10043;1.11715;167;0.0435;0.6362;-28.4615;0.535;0.4933;10305;0.97234
SELL;1.12057;1.09536;252;0.0563;0.7686;-342.1053;0.6523;0.7256;6210;2.43478
